Time,,pm10_standard,pm25_standard,pm100_standard,P3um,P5um,P10um,P25um,P50um,P100um,Shinyei,Temperature,Humidity
2019-7-19 1:37:14,,0,0,0,6,2,0,0,0,0,0,22.80,70.27
2019-7-19 1:37:24,,0,0,0,0,0,0,0,0,0,0,22.84,70.20
2019-7-19 1:37:30,,0,0,0,12,0,0,0,0,0,0,22.84,70.30
2019-7-19 1:37:36,,5,6,6,1197,271,23,0,0,0,0,22.84,70.44
2019-7-21 22:59:36,,2,4,4,0,0,0,0,0,0,0,23.62,54.27
2019-7-21 22:59:42,,4,5,5,798,224,39,2,0,0,0,23.61,54.27
2019-7-21 22:59:48,,3,4,4,642,169,24,4,0,0,0,23.65,54.29
2019-7-21 23:0:0,,4,6,6,0,0,0,0,0,0,0,23.70,54.31
2019-7-21 23:0:5,,4,6,7,0,0,0,0,0,0,0,23.71,54.29
2019-7-21 23:0:11,,3,6,6,747,226,42,0,0,0,0,23.70,54.29
2019-7-21 23:0:14,,3,5,5,714,203,34,2,0,0,0,23.72,54.31
2019-7-21 23:0:22,,2,4,5,690,191,28,4,2,0,0,23.75,54.34
2019-7-21 23:0:27,,3,5,6,807,225,34,6,2,0,0,23.71,54.34
2019-7-21 23:0:34,,4,6,7,894,261,48,6,2,0,0,23.77,54.27
2019-7-21 23:0:40,,3,6,7,876,255,46,4,2,0,0,23.76,54.16
2019-7-21 23:0:46,,4,5,6,939,265,42,4,0,0,0,23.79,54.6
2019-7-21 23:0:51,,4,5,6,924,258,34,2,0,0,0,23.79,54.2
2019-7-21 23:1:0,,3,5,5,798,220,22,4,0,0,0,23.79,53.97
2019-7-21 23:1:8,,2,4,5,822,234,26,6,0,0,0,23.79,53.93
2019-7-21 23:1:16,,2,3,4,708,201,24,4,0,0,0,23.82,53.86
2019-7-21 23:1:23,,2,3,4,687,195,26,4,0,0,0,23.82,53.84
2019-7-21 23:1:31,,3,4,5,747,206,22,2,0,0,0,23.82,53.77
2019-7-21 23:1:36,,4,4,4,789,212,18,0,0,0,0,23.86,53.75
2019-7-21 23:1:43,,3,4,5,900,253,28,2,0,0,0,23.86,53.72
2019-7-21 23:1:50,,4,6,7,864,240,32,6,0,0,0,23.86,53.65
2019-7-21 23:1:56,,3,6,6,813,221,32,6,0,0,0,23.87,53.61
2019-7-21 23:2:2,,3,6,6,738,203,32,8,0,0,0,23.89,53.63
2019-7-21 23:2:8,,3,5,5,678,179,32,6,0,0,0,23.89,53.56
2019-7-21 23:2:15,,2,4,4,684,177,28,4,0,0,0,23.90,53.56
2019-7-21 23:2:23,,3,5,5,663,183,28,6,0,0,0,23.94,53.54
2019-7-21 23:2:31,,3,4,5,657,180,22,4,0,0,0,23.95,53.47
2019-7-21 23:2:37,,3,4,5,681,189,22,4,0,0,0,23.95,53.41
2019-7-21 23:2:44,,2,2,2,609,158,14,0,0,0,0,23.95,53.38
2019-7-21 23:2:51,,3,4,4,681,169,16,2,0,0,0,23.95,53.31
2019-7-21 23:2:57,,3,5,5,780,196,20,2,0,0,0,23.96,53.29
2019-7-21 23:3:4,,2,3,3,780,198,22,2,0,0,0,23.98,53.27
2019-7-21 23:3:10,,2,4,4,720,189,26,4,0,0,0,23.98,53.22
2019-7-21 23:3:17,,3,4,4,762,213,32,2,0,0,0,23.98,53.22
2019-7-21 23:3:25,,3,5,7,816,230,43,6,2,2,0,24.0,53.18
2019-7-21 23:3:30,,3,5,7,852,232,51,6,2,2,0,24.3,53.18
2019-7-21 23:3:35,,5,7,8,930,259,49,4,2,2,0,24.1,53.15
2019-7-21 23:3:43,,5,7,9,978,266,55,4,2,2,0,24.2,53.11
2019-7-21 23:3:50,,5,6,6,924,251,40,0,0,0,0,24.1,53.4
2019-7-21 23:3:59,,5,6,6,936,261,36,0,0,0,0,24.5,53.2
2019-7-21 23:4:3,,4,6,6,942,265,34,0,0,0,0,24.3,52.97
2019-7-21 23:4:10,,4,5,5,855,236,32,0,0,0,0,24.5,52.93
2019-7-21 23:4:17,,3,4,4,783,217,34,0,0,0,0,24.5,52.93
2019-7-21 23:4:23,,2,3,3,726,198,28,0,0,0,0,24.9,52.88
2019-7-21 23:4:30,,2,3,3,594,162,28,0,0,0,0,24.10,52.86
2019-7-21 23:4:38,,4,5,5,747,212,30,0,0,0,0,24.9,52.83
2019-7-21 23:4:43,,4,6,6,768,226,30,2,0,0,0,24.12,52.79
2019-7-21 23:4:50,,4,6,6,804,242,30,2,0,0,0,24.11,52.72
2019-7-21 23:4:56,,4,6,6,819,238,32,2,0,0,0,24.11,52.70
2019-7-21 23:5:1,,4,5,5,771,215,26,2,0,0,0,24.11,52.68
2019-7-21 23:5:9,,2,2,2,624,163,20,0,0,0,0,24.13,52.65
2019-7-21 23:5:16,,3,4,4,696,179,26,0,0,0,0,24.12,52.61
2019-7-21 23:5:22,,3,4,4,762,197,26,2,0,0,0,24.12,52.56
2019-7-21 23:5:28,,4,5,5,765,211,24,2,0,0,0,24.15,52.50
2019-7-21 23:5:34,,3,4,4,858,231,26,2,0,0,0,24.13,52.49
2019-7-21 23:5:40,,3,4,4,888,236,20,2,0,0,0,24.13,52.45
2019-7-21 23:5:47,,4,5,5,807,227,26,0,0,0,0,24.14,52.45
2019-7-21 23:5:55,,3,4,4,810,220,38,2,0,0,0,24.14,52.40
2019-7-21 23:6:2,,3,5,5,804,233,42,2,0,0,0,24.15,52.38
2019-7-21 23:6:8,,2,4,5,756,215,36,4,2,0,0,24.15,52.36
2019-7-21 23:6:13,,3,5,6,828,236,43,8,2,0,0,24.15,52.36
2019-7-21 23:6:20,,4,6,8,834,236,44,8,2,0,0,24.18,52.34
2019-7-21 23:6:26,,3,7,8,792,215,53,8,2,0,0,24.19,52.31
2019-7-21 23:6:31,,3,7,8,798,213,59,8,2,0,0,24.18,52.29
2019-7-21 23:6:39,,3,6,7,771,208,50,4,2,0,0,24.20,52.27
2019-7-21 23:6:47,,3,5,6,705,201,47,2,2,0,0,24.20,52.22
2019-7-21 23:6:55,,2,4,5,690,200,34,2,2,0,0,24.20,52.16
2019-7-21 23:7:0,,4,5,6,720,207,32,2,2,0,0,24.20,52.15
2019-7-21 23:7:6,,3,5,5,774,226,41,4,0,0,0,24.20,52.9
2019-7-21 23:7:11,,3,5,5,795,227,43,4,0,0,0,24.22,52.9
2019-7-21 23:7:18,,3,5,6,720,191,39,6,0,0,0,24.22,52.6
2019-7-21 23:7:26,,2,4,5,690,191,37,6,0,0,0,24.22,52.4
2019-7-21 23:7:32,,1,2,3,576,155,26,4,0,0,0,24.22,52.0
2019-7-21 23:7:39,,2,2,2,567,158,18,2,0,0,0,24.23,51.97
2019-7-21 23:7:44,,2,4,4,699,195,18,4,0,0,0,24.22,51.97
2019-7-21 23:7:52,,3,5,5,768,213,38,8,0,0,0,24.23,51.95
2019-7-21 23:7:58,,3,5,5,828,230,36,6,0,0,0,24.25,51.93
2019-7-21 23:8:5,,3,5,6,882,246,46,6,0,0,0,24.26,51.93
2019-7-21 23:8:12,,3,5,5,816,234,44,4,0,0,0,24.25,51.93
2019-7-21 23:8:18,,3,4,4,789,222,34,2,0,0,0,24.25,51.88
2019-7-21 23:8:25,,4,5,5,792,226,30,4,0,0,0,24.27,51.86
2019-7-21 23:8:31,,4,6,6,801,226,34,4,0,0,0,24.27,51.84
2019-7-21 23:8:37,,3,5,5,741,207,36,4,0,0,0,24.26,51.81
2019-7-21 23:8:44,,3,5,5,828,232,38,2,0,0,0,24.25,51.79
2019-7-21 23:8:50,,3,6,6,789,217,42,0,0,0,0,24.28,51.75
2019-7-21 23:8:57,,4,5,5,789,221,34,0,0,0,0,24.26,51.72
2019-7-21 23:9:1,,4,6,6,876,238,32,2,0,0,0,24.25,51.74
2019-7-21 23:9:9,,3,5,5,732,194,30,2,0,0,0,24.26,51.70
2019-7-21 23:9:16,,2,3,3,729,194,26,2,0,0,0,24.28,51.70
2019-7-21 23:9:22,,3,6,6,759,204,36,6,0,0,0,24.26,51.68
2019-7-21 23:9:28,,4,5,5,747,209,34,4,0,0,0,24.27,51.68
2019-7-21 23:9:33,,4,6,6,882,248,34,4,0,0,0,24.29,51.70
2019-7-21 23:9:38,,4,6,6,909,257,36,4,0,0,0,24.29,51.68
2019-7-21 23:9:46,,4,6,6,876,246,34,0,0,0,0,24.28,51.65
2019-7-21 23:9:53,,4,5,5,852,241,28,0,0,0,0,24.31,51.63
2019-7-21 23:9:58,,4,5,5,771,215,22,0,0,0,0,24.29,51.61
2019-7-21 23:10:5,,3,5,5,729,204,18,4,0,0,0,24.31,51.61
2019-7-21 23:10:11,,3,5,5,690,195,16,4,0,0,0,24.30,51.56
2019-7-21 23:10:17,,2,4,4,714,195,24,4,0,0,0,24.32,51.54
2019-7-21 23:10:23,,3,6,6,723,204,34,4,0,0,0,24.32,51.50
2019-7-21 23:10:29,,4,6,6,777,216,48,0,0,0,0,24.32,51.50
2019-7-21 23:10:37,,4,6,6,822,230,56,0,0,0,0,24.34,51.45
2019-7-21 23:10:43,,3,4,4,774,219,50,0,0,0,0,24.34,51.41
2019-7-21 23:10:49,,4,5,5,798,228,42,0,0,0,0,24.34,51.43
2019-7-21 23:10:55,,4,5,5,756,217,24,0,0,0,0,24.34,51.40
2019-7-21 23:11:1,,3,4,4,663,190,14,0,0,0,0,24.36,51.38
2019-7-21 23:11:7,,4,4,4,705,204,16,0,0,0,0,24.36,51.38
2019-7-21 23:11:13,,3,4,4,651,190,22,0,0,0,0,24.34,51.34
2019-7-21 23:11:19,,4,4,4,726,215,24,0,0,0,0,24.39,51.29
2019-7-21 23:11:25,,3,4,4,690,208,30,0,0,0,0,24.37,51.31
2019-7-21 23:11:32,,4,5,5,774,227,38,0,0,0,0,24.38,51.29
2019-7-21 23:11:38,,5,6,6,861,256,38,0,0,0,0,24.40,51.25
2019-7-21 23:11:44,,4,5,5,795,238,34,0,0,0,0,24.39,51.22
2019-7-21 23:11:50,,4,5,5,843,245,36,0,0,0,0,24.40,51.20
2019-7-21 23:11:56,,4,5,5,756,224,32,0,0,0,0,24.40,51.18
2019-7-21 23:12:2,,3,4,4,669,190,30,0,0,0,0,24.42,51.18
2019-7-21 23:12:7,,2,4,4,735,203,38,4,0,0,0,24.43,51.16
2019-7-21 23:12:13,,3,6,6,750,208,42,8,0,0,0,24.44,51.15
2019-7-21 23:12:19,,4,6,6,783,219,42,8,0,0,0,24.45,51.13
2019-7-21 23:12:24,,4,7,7,825,228,44,10,0,0,0,24.43,51.9
2019-7-21 23:12:31,,4,6,6,828,216,38,8,0,0,0,24.44,51.6
2019-7-21 23:12:37,,4,6,6,849,230,38,4,0,0,0,24.44,51.4
2019-7-21 23:12:44,,4,6,6,813,217,36,4,0,0,0,24.45,51.0
2019-7-21 23:12:49,,4,5,5,852,221,32,2,0,0,0,24.43,51.0
2019-7-21 23:12:55,,5,6,6,882,243,32,2,0,0,0,24.45,50.97
2019-7-21 23:13:1,,4,6,7,825,232,34,4,2,2,0,24.45,50.97
2019-7-21 23:13:8,,4,5,7,777,216,26,4,2,2,0,24.45,50.97
2019-7-21 23:13:14,,4,5,8,798,221,36,4,4,2,0,24.45,50.93
2019-7-21 23:13:21,,3,4,7,819,235,40,4,4,2,0,24.46,50.93
2019-7-21 23:13:27,,4,6,7,834,238,40,2,2,0,0,24.46,50.90
2019-7-21 23:13:32,,4,6,7,861,254,44,2,2,0,0,24.47,50.88
2019-7-21 23:13:38,,9728,512,512,19712,7168,1280,1536,1536,1280,0,24.47,50.88
2019-7-21 23:13:44,,4,6,6,762,227,34,0,0,0,0,24.48,50.88
2019-7-21 23:13:50,,3,5,5,696,205,26,2,0,0,0,24.48,50.86
2019-7-21 23:13:54,,3,4,4,669,189,20,2,0,0,0,24.47,50.88
2019-7-21 23:14:2,,3,4,4,636,180,20,2,0,0,0,24.51,50.86
2019-7-21 23:14:9,,3,4,4,630,182,20,2,0,0,0,24.47,50.84
2019-7-21 23:14:15,,3,4,4,663,193,24,2,0,0,0,24.47,50.86
2019-7-21 23:14:21,,2,4,4,702,204,28,4,0,0,0,24.51,50.86
2019-7-21 23:14:28,,3,4,4,753,220,32,4,0,0,0,24.51,50.86
2019-7-21 23:14:34,,4,6,6,756,220,40,4,0,0,0,24.51,50.84
2019-7-21 23:14:41,,4,7,7,882,251,42,4,0,0,0,24.48,50.84
2019-7-21 23:14:49,,4,7,9,843,244,53,4,2,2,0,24.50,50.83
2019-7-21 23:14:54,,4,7,9,840,235,47,4,2,2,0,24.50,50.81
2019-7-21 23:15:1,,4,5,7,756,222,33,2,2,2,0,24.51,50.79
2019-7-21 23:15:6,,4,5,7,750,217,35,2,2,2,0,24.50,50.79
2019-7-21 23:15:10,,4,5,7,756,214,37,2,2,2,0,24.51,50.79
2019-7-21 23:15:19,,2,5,5,771,218,38,2,0,0,0,24.50,50.79
2019-7-21 23:15:27,,3,6,6,783,205,46,4,0,0,0,24.50,50.77
2019-7-21 23:15:33,,3,6,6,762,196,46,6,0,0,0,24.51,50.79
2019-7-21 23:15:40,,3,6,6,726,199,36,6,0,0,0,24.50,50.75
2019-7-21 23:15:45,,3,6,6,741,206,32,6,0,0,0,24.53,50.77
2019-7-21 23:15:52,,3,5,5,702,194,26,4,0,0,0,24.51,50.77
2019-7-21 23:15:59,,3,5,6,705,199,24,4,2,2,0,24.50,50.79
2019-7-21 23:16:4,,2,3,5,741,197,24,2,2,2,0,24.51,50.77
2019-7-21 23:16:9,,3,4,6,699,188,24,2,2,2,0,24.48,50.77
2019-7-21 23:16:17,,3,4,7,693,195,28,4,4,2,0,24.53,50.74
2019-7-21 23:16:24,,3,4,5,705,194,32,2,2,0,0,24.53,50.72
2019-7-21 23:16:30,,3,4,6,705,193,38,4,2,0,0,24.48,50.72
2019-7-21 23:16:36,,3,5,6,753,204,40,4,2,0,0,24.50,50.70
2019-7-21 23:16:43,,4,6,6,870,235,40,4,0,0,0,24.47,50.74
2019-7-21 23:16:50,,4,7,7,912,249,39,4,0,0,0,24.46,50.72
2019-7-21 23:16:56,,3,6,6,816,223,31,4,0,0,0,24.46,50.75
2019-7-21 23:17:2,,4,7,7,870,239,33,4,0,0,0,24.46,50.79
2019-7-21 23:17:8,,3,5,5,825,213,33,2,0,0,0,24.47,50.84
2019-7-21 23:17:14,,3,5,5,771,200,28,2,0,0,0,24.45,50.81
2019-7-21 23:17:19,,2,4,4,768,198,26,2,0,0,0,24.45,50.81
2019-7-21 23:17:27,,2,3,3,615,165,22,0,0,0,0,24.47,50.79
2019-7-21 23:17:37,,2,3,3,507,149,20,4,0,0,0,24.47,50.86
2019-7-21 23:17:42,,2,4,4,507,142,24,6,0,0,0,24.45,50.95
2019-7-21 23:17:50,,3,5,5,666,192,33,6,0,0,0,24.46,51.6
2019-7-21 23:17:56,,4,6,6,777,221,39,4,0,0,0,24.46,51.9
2019-7-21 23:18:3,,4,6,6,843,235,47,4,0,0,0,24.45,51.6
2019-7-21 23:18:11,,5,7,7,903,254,58,4,0,0,0,24.46,50.97
2019-7-21 23:18:17,,5,6,6,816,234,51,4,0,0,0,24.42,50.90
2019-7-21 23:18:24,,4,6,6,798,236,39,2,0,0,0,24.45,50.88
2019-7-21 23:18:30,,4,5,5,702,212,31,2,0,0,0,24.43,50.84
2019-7-21 23:18:37,,3,4,4,639,196,20,2,0,0,0,24.45,50.81
2019-7-21 23:18:44,,3,4,4,633,183,22,2,0,0,0,24.43,50.79
2019-7-21 23:18:49,,2,3,5,570,166,24,4,2,0,0,24.44,50.81
2019-7-21 23:18:57,,2,3,5,534,154,28,4,2,0,0,24.45,50.79
2019-7-21 23:19:4,,2,3,4,525,147,22,2,2,0,0,24.44,50.79
2019-7-21 23:19:10,,2,3,6,591,173,28,6,2,0,0,24.45,50.77
2019-7-21 23:19:18,,2,4,5,600,171,30,6,0,0,0,24.44,50.75
2019-7-21 23:19:26,,3,4,6,660,189,34,8,0,0,0,24.44,50.77
2019-7-21 23:19:31,,3,5,6,666,194,36,10,0,0,0,24.44,50.75
2019-7-21 23:19:39,,3,5,5,675,193,32,4,0,0,0,24.43,50.74
2019-7-21 23:19:44,,3,5,5,681,189,26,4,0,0,0,24.43,50.74
2019-7-21 23:19:49,,3,4,4,726,192,22,2,0,0,0,24.43,50.70
2019-7-21 23:19:57,,3,4,4,636,172,24,0,0,0,0,24.42,50.72
2019-7-21 23:20:2,,3,4,4,669,180,30,0,0,0,0,24.44,50.72
2019-7-21 23:20:10,,3,5,5,738,204,34,0,0,0,0,24.44,50.74
2019-7-21 23:20:15,,4,6,6,801,228,32,0,0,0,0,24.44,50.74
2019-7-21 23:20:23,,4,6,6,864,241,34,0,0,0,0,24.43,50.74
2019-7-21 23:20:29,,4,5,5,822,228,28,0,0,0,0,24.42,50.70
2019-7-21 23:20:36,,4,5,5,774,216,28,2,0,0,0,24.43,50.70
2019-7-21 23:20:42,,4,5,5,711,200,28,2,0,0,0,24.40,50.72
2019-7-21 23:20:49,,3,4,4,660,190,24,2,0,0,0,24.42,50.75
2019-7-21 23:20:55,,3,5,5,645,194,24,4,0,0,0,24.43,50.72
2019-7-21 23:21:1,,4,5,5,720,210,27,4,0,0,0,24.42,50.74
2019-7-21 23:21:7,,3,5,5,702,203,27,4,0,0,0,24.40,50.75
2019-7-21 23:21:13,,3,6,6,708,205,33,6,0,0,0,24.43,50.70
2019-7-21 23:21:19,,3,6,6,744,212,39,4,0,0,0,24.43,50.72
2019-7-21 23:21:25,,3,5,6,690,190,34,4,0,0,0,24.40,50.72
2019-7-21 23:21:29,,3,6,6,735,210,42,4,0,0,0,24.40,50.72
2019-7-21 23:21:35,,3,5,6,750,211,34,4,0,0,0,24.43,50.74
2019-7-21 23:21:41,,3,4,5,711,202,36,2,0,0,0,24.43,50.72
2019-7-21 23:21:47,,3,5,5,747,207,34,0,0,0,0,24.40,50.72
2019-7-21 23:21:53,,3,4,4,747,205,34,0,0,0,0,24.40,50.74
2019-7-21 23:21:58,,3,4,4,714,201,28,0,0,0,0,24.43,50.72
2019-7-21 23:22:6,,4,5,5,768,218,30,2,0,0,0,24.40,50.72
2019-7-21 23:22:12,,3,5,5,696,205,34,6,0,0,0,24.40,50.70
2019-7-21 23:22:19,,3,6,6,717,209,38,8,0,0,0,24.42,50.72
2019-7-21 23:22:26,,3,6,6,696,194,38,8,0,0,0,24.40,50.72
2019-7-21 23:22:32,,3,5,5,675,180,28,6,0,0,0,24.40,50.72
2019-7-21 23:22:37,,3,5,5,687,188,34,4,0,0,0,24.43,50.72
2019-7-21 23:22:43,,3,5,5,708,196,34,4,0,0,0,24.39,50.68
2019-7-21 23:22:50,,3,5,5,783,224,34,2,0,0,0,24.38,50.70
2019-7-21 23:22:55,,4,6,6,822,234,36,2,0,0,0,24.40,50.70
2019-7-21 23:23:2,,4,5,5,816,231,26,2,0,0,0,24.39,50.70
2019-7-21 23:23:10,,2,4,4,669,197,29,6,0,0,0,24.37,50.70
2019-7-21 23:23:17,,2,4,4,729,212,27,6,0,0,0,24.38,50.70
2019-7-21 23:23:23,,3,5,5,675,196,25,6,0,0,0,24.39,50.72
2019-7-21 23:23:30,,3,4,4,654,185,19,4,0,0,0,24.40,50.72
2019-7-21 23:23:36,,3,3,3,666,183,10,0,0,0,0,24.39,50.74
2019-7-21 23:23:43,,2,2,2,615,165,14,0,0,0,0,24.40,50.75
2019-7-21 23:23:48,,3,4,4,621,172,22,0,0,0,0,24.39,50.74
2019-7-21 23:23:54,,4,5,5,741,205,28,2,0,0,0,24.39,50.74
2019-7-21 23:24:0,,4,6,6,822,227,34,4,0,0,0,24.38,50.74
2019-7-21 23:24:8,,3,5,6,801,221,32,4,0,0,0,24.38,50.74
2019-7-21 23:24:16,,4,5,5,804,225,26,2,0,0,0,24.37,50.74
2019-7-21 23:24:22,,4,5,5,822,227,24,2,0,0,0,24.36,50.70
2019-7-21 23:24:29,,4,4,4,768,222,22,0,0,0,0,24.38,50.74
2019-7-21 23:24:35,,5,5,5,834,242,26,2,0,0,0,24.38,50.74
2019-7-21 23:24:40,,5,7,7,855,249,36,6,0,0,0,24.36,50.75
2019-7-21 23:24:48,,5,7,8,864,259,32,8,2,0,0,24.37,50.74
2019-7-21 23:24:55,,4,6,7,936,271,34,8,2,0,0,24.37,50.77
2019-7-21 23:25:0,,4,6,8,912,260,36,6,2,0,0,24.37,50.79
2019-7-21 23:25:8,,4,6,8,987,273,42,2,2,0,0,24.37,50.79
2019-7-21 23:25:15,,4,6,6,852,235,46,0,0,0,0,24.37,50.77
2019-7-21 23:25:20,,3,5,5,786,206,44,0,0,0,0,24.39,50.79
2019-7-21 23:25:28,,4,6,6,831,228,38,2,0,0,0,24.38,50.77
2019-7-21 23:25:33,,4,6,6,915,246,32,2,0,0,0,24.37,50.79
2019-7-21 23:25:40,,4,6,6,921,237,30,2,0,0,0,24.38,50.77
2019-7-21 23:25:49,,4,6,6,948,223,30,4,0,0,0,24.39,50.75
2019-7-21 23:25:57,,4,5,5,975,210,36,4,0,0,0,24.40,50.70
2019-7-21 23:26:4,,3,5,5,912,186,32,6,0,0,0,24.37,50.68
2019-7-21 23:26:10,,3,5,5,969,190,30,6,0,0,0,24.37,50.72
2019-7-21 23:26:16,,3,4,4,924,186,28,2,0,0,0,24.37,50.70
2019-7-21 23:26:23,,3,4,4,870,171,26,4,0,0,0,24.39,50.70
2019-7-21 23:26:28,,3,4,4,855,163,28,4,0,0,0,24.40,50.70
2019-7-21 23:26:36,,4,5,5,924,208,36,2,0,0,0,24.37,50.68
2019-7-21 23:26:43,,4,6,6,939,218,40,2,0,0,0,24.37,50.66
2019-7-21 23:26:51,,4,6,6,1047,237,40,0,0,0,0,24.37,50.66
2019-7-21 23:26:59,,4,5,5,1065,231,32,0,0,0,0,24.38,50.68
2019-7-21 23:27:5,,4,5,5,1101,236,32,0,0,0,0,24.39,50.68
2019-7-21 23:27:12,,3,5,5,1134,232,26,4,0,0,0,24.37,50.70
2019-7-21 23:27:20,,4,6,6,1392,293,24,6,0,0,0,24.37,50.70
2019-7-21 23:27:26,,6,7,7,1701,353,26,6,0,0,0,24.37,50.74
2019-7-21 23:27:33,,7,9,9,2220,430,30,6,0,0,0,24.37,50.77
2019-7-21 23:27:40,,9,11,11,2769,532,38,4,0,0,0,24.38,50.77
2019-7-21 23:27:46,,10,11,11,3072,582,38,2,0,0,0,24.37,50.77
2019-7-21 23:27:53,,11,12,12,3600,686,36,2,0,0,0,24.40,50.75
2019-7-21 23:27:59,,12,14,14,3717,706,36,2,0,0,0,24.36,50.72
2019-7-21 23:28:6,,13,14,14,3948,749,32,0,0,0,0,24.36,50.74
2019-7-21 23:28:11,,14,16,16,4386,851,32,0,0,0,0,24.36,50.72
2019-7-21 23:28:18,,17,19,19,5199,1044,32,0,0,0,0,24.37,50.72
2019-7-21 23:28:24,,21,22,22,5925,1262,30,0,0,0,0,24.39,50.75
2019-7-21 23:28:30,,25,26,26,6888,1507,24,0,0,0,0,24.36,50.77
2019-7-21 23:28:37,,32,33,33,8307,1855,34,2,0,0,0,24.38,50.75
2019-7-21 23:28:42,,512,0,151,7168,8704,8960,8960,7168,8448,0,24.39,50.77
2019-7-21 23:28:49,,284,285,285,48177,14129,32,2,0,0,0,24.36,50.77
2019-7-21 23:28:55,,357,359,359,60507,17680,28,8,0,0,0,24.37,50.77
2019-7-21 23:29:0,,218,222,222,38097,10852,34,14,0,0,0,24.39,50.77
2019-7-21 23:29:5,,149,153,153,32292,7806,41,14,0,0,0,24.37,50.81
2019-7-21 23:29:14,,86,89,90,21114,4667,40,14,0,0,0,24.38,50.81
2019-7-21 23:29:20,,26,28,29,6837,1458,28,8,0,0,0,24.38,50.79
2019-7-21 23:29:28,,15,20,21,4257,899,52,16,2,2,0,24.38,50.77
2019-7-21 23:29:34,,7,13,17,2148,426,55,30,4,4,0,24.39,50.79
2019-7-21 23:29:40,,9,14,18,2688,579,47,24,4,4,0,24.39,50.77
2019-7-21 23:29:47,,15,20,20,3675,844,44,18,0,0,0,24.42,50.77
2019-7-21 23:29:52,,6,13,13,1818,414,48,22,0,0,0,24.38,50.77
2019-7-21 23:29:59,,7,12,12,1860,424,40,16,0,0,0,24.38,50.74
2019-7-21 23:30:7,,17,21,21,3744,893,49,10,0,0,0,24.39,50.74
2019-7-21 23:30:15,,37,39,39,7671,1828,41,6,0,0,0,24.40,50.74
2019-7-21 23:30:22,,38,42,44,8496,1937,40,18,2,2,0,24.43,50.72
2019-7-21 23:30:28,,6,11,13,2250,460,46,22,2,2,0,24.42,50.72
2019-7-21 23:30:34,,10,14,16,2742,597,42,18,2,2,0,24.43,50.70
2019-7-21 23:30:41,,24,27,27,5235,1243,32,10,0,0,0,24.44,50.70
2019-7-21 23:30:49,,46,47,47,9534,2335,26,4,0,0,0,24.43,50.68
2019-7-21 23:30:56,,66,69,69,13497,3281,39,8,0,0,0,24.43,50.65
2019-7-21 23:31:0,,34,39,41,7812,1769,47,20,2,2,0,24.40,50.65
2019-7-21 23:31:8,,9,14,16,2787,550,40,20,2,2,0,24.42,50.63
2019-7-21 23:31:14,,13,18,18,3675,781,45,14,0,0,0,24.43,50.63
2019-7-21 23:31:19,,12,17,17,3081,686,41,18,0,0,0,24.44,50.61
2019-7-21 23:31:25,,4,10,10,1344,300,49,20,0,0,0,24.44,50.58
2019-7-21 23:31:31,,6,11,11,1704,394,47,18,0,0,0,24.45,50.54
2019-7-21 23:31:39,,14,18,18,3447,790,43,12,0,0,0,24.44,50.52
2019-7-21 23:31:44,,23,26,26,5364,1232,28,8,0,0,0,24.44,50.50
2019-7-21 23:31:51,,30,34,34,6747,1560,46,14,0,0,0,24.44,50.49
2019-7-21 23:31:56,,7,14,14,2112,467,61,24,0,0,0,24.44,50.45
2019-7-21 23:32:3,,7,13,13,1968,436,60,20,0,0,0,24.44,50.43
2019-7-21 23:32:8,,9,14,15,2391,521,60,22,0,0,0,24.45,50.41
2019-7-21 23:32:16,,4,11,11,1266,285,55,24,0,0,0,24.42,50.40
2019-7-21 23:32:21,,4,10,10,1284,294,38,20,0,0,0,24.45,50.38
2019-7-21 23:32:30,,8,12,12,2220,501,38,12,0,0,0,24.42,50.38
2019-7-21 23:32:37,,16,17,17,4146,878,35,4,0,0,0,24.42,50.38
2019-7-21 23:32:44,,13,17,17,3474,751,43,16,0,0,0,24.42,50.36
2019-7-21 23:32:48,,7,12,12,1854,442,44,22,0,0,0,24.42,50.36
2019-7-21 23:32:55,,7,11,11,1881,418,46,18,0,0,0,24.40,50.36
2019-7-21 23:33:4,,11,14,14,3045,673,40,12,0,0,0,24.43,50.34
2019-7-21 23:33:8,,19,21,21,4581,1021,32,6,0,0,0,24.40,50.36
2019-7-21 23:33:15,,13,17,17,3249,697,33,16,0,0,0,24.43,50.38
2019-7-21 23:33:22,,4,9,9,1431,305,37,20,0,0,0,24.44,50.41
2019-7-21 23:33:29,,8,12,12,2259,506,36,14,0,0,0,24.43,50.40
2019-7-21 23:33:36,,12,16,16,3222,722,40,10,0,0,0,24.43,50.38
2019-7-21 23:33:43,,24,26,26,5817,1324,48,2,0,0,0,24.40,50.40
2019-7-21 23:33:50,,35,39,39,8325,1834,52,12,0,0,0,24.43,50.40
2019-7-21 23:33:58,,6,13,14,2313,458,63,28,2,0,0,24.40,50.41
2019-7-21 23:34:3,,6,12,13,2040,407,61,22,2,0,0,24.44,50.43
2019-7-21 23:34:10,,12,15,15,3219,697,42,12,0,0,0,24.42,50.40
2019-7-21 23:34:16,,20,22,22,4650,1061,34,8,0,0,0,24.40,50.38
2019-7-21 23:34:23,,36,37,37,7995,1863,22,2,0,0,0,24.42,50.34
2019-7-21 23:34:30,,57,59,59,12444,2887,27,4,0,0,0,24.42,50.38
2019-7-21 23:34:37,,78,79,79,16458,3866,38,4,0,0,0,24.39,50.34
